"","x"
"609","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"610","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"611","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"612","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"613","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"614","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"615","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"616","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"617","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"618","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"619","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"620","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"621","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"622","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"623","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"624","1、我去超市买烟，我递给店员一百块钱，说：“没零的，你找我吧。”店员闭上眼睛飞快地数到十，然后一把揪住我，“哈哈哈，找到你啦！ ”2、在楼下看见刘大爷，跟他打招呼说：“您的风湿病还犯么？”刘大爷乐呵呵地说：“嘿你还别说！自从吃了某药，我现在能一口气上五楼不费劲！不信你看！ ”说完深呼吸一口气，捏着鼻子进了电梯。3、“老板，这西瓜这么大我怕吃不完，能不能只买一部分...”“可以的，你要多少，我帮你切。 ”“不要皮，其他都要”4、经理问：那你为什么会迟到？ ......"
"625","1、“为什么手机删软件的时候它们会抖？”“因为它们怕被删。”“那为什么那些像邮件、电话之类根本删不掉的也在抖？”“因为它们在嘚瑟。”2、从前有一个老奶奶，早上起来洗脸，洗着洗着，她就变成了洗面奶。从前有一个老爷爷，早上起来洗手，洗着洗着，他就变成了洗手液。3、有一天可乐和咖啡在聊天。可乐问咖啡：“你觉得我们俩谁更长寿啊？”咖啡慢悠悠地回答说：“我也不知道呀，这要看你平常作息正不正常，有没有运动碍…”......"
"626","1、外国记者听闻国内有一大师，曾为无数人解惑遂上山拜访，记者：what is your name？大师：阿弥陀佛，老衲法号惠德。记者大惊：大师也懂英文？大师微微一笑：老衲出家前英文很疯狂 。。。2、秦始皇：“我虽然贵为皇帝，三宫六院那么多老婆，其实都是选妃抢来的，她们心里根本就不是太愿意，唉！ ”唐太宗：“我的也是。”朱元璋：“我的也是。”乾隆：“我的也是。”王思聪：“呵呵！ ”3、美人鱼苦求女巫让她跟王子在一起，女巫给了她一瓶药水，说：“喝了这个能帮助你，但你可能会化作泡沫。”......"
"627","1、我简单说六点：“......”2、神笔马良拿出笔，在墙上画了一个圆点，又在圆点上方画了三条弧线，然后掏出手机连上了WIFI。3、问大家一个问题：已知本题选B，那么本题选（）A.选B；B.选A4、刚看新闻，说的是动物园一头驴子为了争食物怒踢一只羊驼的面部。结果下面评论有一神回复：脑袋被驴踢了吧？5、“我就是说说。”他目无表情。我紧张地望着他：“你就是说说是吧。”他点了点头。我快步上前握住了他的手：“久仰大名，我是朋友圈。”6、紫薇：“小燕子，我到底做错了什么？为什么尔康他不想见我？”......"
"628","1、看了这么久的西游记，还没弄明白唐僧肉可以长生不老的消息到底是谁说出去的，为什么每个妖怪都知道。2、“真是烂泥扶不上墙！ ”烂泥：“我说我要上墙？我求你扶我了？有病！ ”3、孙悟空打妖怪时不小心把金箍棒弄丢了，于是孙悟空叫来了土地神，问道：“土地老儿，我问你，我的金箍棒在哪？”土地回答：“大圣，你的金箍，棒就棒在配你的发型。”孙悟空。。。4、“孙悟空为什么大闹天宫之前很厉害，最后却连一只普通的妖怪都打不过？”......"
"629","1、“最近怎么没看你冒泡氨“你也是啊，唉，毕竟我们都那么熟了。”——两只螃蟹在锅里说。2、“你变了”，“你也是”——两个变形金刚在唠嗑。3、土豆和西红柿走到了一起。因为土豆变成了薯条，西红柿变成了番茄酱，它俩变成了绝配。4、和珅暗地里研究出了时光机，派管家刘全带着几个人穿越到未来捞点值钱货。临走时吩咐刘全，一定要搞点未来的大钱儿回来。刘全穿越后忙了一宿，第二天带回来六十多个窨井盖。5、“我记性很差氨......"
"630","1、“想不到，转眼之间我们都老了…”“是啊，火开得太大了！ ”另一根油条感叹道。2、榴莲水果之王的位置是这么来的，榴莲：“不同意我当水果之王的请走到我身边！ ”其它水果纷纷捂住鼻子往后退。3、冰箱里的鸡蛋们一直平安无事，今天却被一只鸡蛋的惊叫声炸开了锅：“妈呀！救命啊！西红柿来了！！ ”4、“欢迎光临，喜欢可以试穿一下。”---不知道为什么，我的寿衣店生意一直不太好。5、有只小鸡很奇怪，不喜欢挖虫子，天生喜欢挖蕨菜。......"
"631","1、钞，稀有金属，放在钱包里极其不稳定。2、我家狗一定以为每天中午给我送快餐的外卖小哥是我的主人。。。3、我小时候以为，早睡早起身体好，是一句口号。长大后才明白，是三个愿望。。。4、事情出了问题，我不会急着去责怪别人，而是先反省反省自己，如果真是我的错，就再好好想想怎么推卸给别人。5、为什么经常耍赖的人，反而被称为无赖呢？6、一组水分子列着整齐的方队齐刷刷地跑过来。其他的水分子感叹道：不愧是当冰的。                                                                                            查看全文»                                                                                                    分享                                                                                                                                                                                                                                          新浪微博                                                                QQ空间                                                                腾讯微博                                                                QQ好友                                                                人人网                                                                                                                                                                                                                                                                                                                                                                                         4                                                                                                                                                    5                                                                                                                                    "
"632","1、昨个夜里在宾馆，一下子来了两个空姐！一会儿亲这里，一会儿亲哪里，还唱着小曲！为了征服他们，从十一点奋战到了凌晨一点！终于给他们拍死了！2、老王和他的老婆都是单眼皮，但老王希望自己的孩子能是双眼皮，于是在老婆怀孕的期间天天吃斋念佛，终于感动了上苍，他老婆给他生了个双眼皮的孩子。3、给老婆讲各种吉尼斯世界纪录，老婆不为所动！讲到世界上最长的黄瓜104厘米时，老婆终于“哇”了一声！4、“我兄弟见到美女就想吐！ ”“你兄弟谁氨......"
"633","1、心理医生说我得了人格分裂，我连忙问道：“那我呢？”2、人类学家研究发现，如果你踩一个人类的脚，他就会有极大可能张开嘴，而嘴长多大取决于你踩的力度。科学家们进一步推断出：人类可能是垃圾桶进化而来的。3、那些不愉快的经历，会随着时间慢慢消失，刻意把它隐瞒反而更明显更狼狈。踩到屎了，就若无其事继续走，走不了多久鞋底自然就干净了。而如果你在地上使劲蹭，谁都能猜到你在干什么。4、万万没想到请问千千想到了吗？5、甘蔗那玩意太好吃......"
"634","1、现在的女孩子医学知识懂的是越来越多了啊！昨天我在街上和一个女孩子搭讪，没聊几句话呢，她就下结论，说：“你有脖。2、常年肾虚的老赵为了能在老婆面前抬起头来，毅然决然的来到医院，治疗颈椎玻3、有没有懂跑车的朋友，求推荐一款400万到800万的跑车，要求性能好，起步快，马力大，舒适性高的，外观时尚又好看的，我拿来当手机纸壁。4、吃冰淇淋不会胖，因为是凉的，没有热量。5、小明生来就是哑巴，四处求医问药，终于在18岁那年治好了，他实在......"
"635","1、餐厅里，一位单身汉对我说：“好羡慕，我什么时候也能有机会吃情侣套餐呢？”我安慰他说：“别灰心，只要有钱，像我这样，一个人也能买情侣套餐。”2、“来人”“在，娘娘有什么吩咐？”“我怀疑宮中有人对我用巫蛊之术！ ”“这。。。怎么说？”“最近手总是点付款，根本停不下来，所以我怀疑有人加害本宫。” “。。。”3、中午回家和一辆别克刮上了，把他蹭掉漆了，别克车主下来看看车，又看看我，说：人没伤着就行，你走吧。。。......"
"636","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"637","1、晚上我做了个梦，梦见我到了南极，忽然一群企鹅飞到我身边问我：兄弟，冲Q币不？2、为体现差异化竞争，我公司生产了大量的指东针。3、两男的去洗牙！一个是陪同！另一个正在洗牙的时候他哥们说：干你们这行也挺不容易哈！像掏厕所似的！4、老婆：老公，咋啦？老公：睡不着埃。老婆：肯定是压力太大了，睡一觉就好了。老公。。。5、一位老同学的朋友圈，全是晒小孩的照片，特别招人烦，最近听说他被抓了，我才知道是误会他了，原来他是做代购的。6、恐龙怕什么？......"
"638","1、有话好好说，TM别掀我被窝！2、早上，路上有一个小孩愤愤的骂道：玛蛋，这么冷的天全家都在睡觉。就老子一个上学！3、天很冷，你记得多穿一件外套，我说冷的时候好脱下来给我。4、天真的很冷了，晚上睡觉放个屁都不舍得掀开被窝，你说这屁要是不臭，那放屁该是件多美好的事儿埃5、“别怕！ ” “勇敢一点！ ” “稍微忍耐一下！ ” “你可以的！ ” “不过是短暂的分别！ ” “很快就好了！ ” “加油！ ” …… 在温暖的被窝里，我蜷曲着身子，握紧拳头，大声地给自己鼓劲，为起夜上厕所攒足了勇气。6、“好累哦” ......"
"639","1、昨个夜里在宾馆，一下子来了两个空姐！一会儿亲这里，一会儿亲哪里，还唱着小曲！为了征服他们，从十一点奋战到了凌晨一点！终于给他们拍死了！2、老王和他的老婆都是单眼皮，但老王希望自己的孩子能是双眼皮，于是在老婆怀孕的期间天天吃斋念佛，终于感动了上苍，他老婆给他生了个双眼皮的孩子。3、给老婆讲各种吉尼斯世界纪录，老婆不为所动！讲到世界上最长的黄瓜104厘米时，老婆终于“哇”了一声！4、“我兄弟见到美女就想吐！ ”“你兄弟谁氨......"
"640","1、现在的女孩子医学知识懂的是越来越多了啊！昨天我在街上和一个女孩子搭讪，没聊几句话呢，她就下结论，说：“你有脖。2、常年肾虚的老赵为了能在老婆面前抬起头来，毅然决然的来到医院，治疗颈椎玻3、有没有懂跑车的朋友，求推荐一款400万到800万的跑车，要求性能好，起步快，马力大，舒适性高的，外观时尚又好看的，我拿来当手机纸壁。4、吃冰淇淋不会胖，因为是凉的，没有热量。5、小明生来就是哑巴，四处求医问药，终于在18岁那年治好了，他实在......"
"641","1、餐厅里，一位单身汉对我说：“好羡慕，我什么时候也能有机会吃情侣套餐呢？”我安慰他说：“别灰心，只要有钱，像我这样，一个人也能买情侣套餐。”2、“来人”“在，娘娘有什么吩咐？”“我怀疑宮中有人对我用巫蛊之术！ ”“这。。。怎么说？”“最近手总是点付款，根本停不下来，所以我怀疑有人加害本宫。” “。。。”3、中午回家和一辆别克刮上了，把他蹭掉漆了，别克车主下来看看车，又看看我，说：人没伤着就行，你走吧。。。......"
"642","1、茶叶回忆说：。。。突然开水冲进来。。。2、“在鸡蛋和石头之间，我永远选择鸡蛋。”番茄说。3、智能手机在路上遇见了早期的大哥大，打了招呼：“哟~，这不是古巨机么！ ”4、悟空和二郎神大战，悟空说：天宫没人了吗，怎么给我派个残疾人来。二郎神大怒道：休要侮辱我，我怎么残疾了。悟空说：长了三只眼为啥还带导盲犬，该不是缺心眼吧。5、火焰山，唐僧口渴难耐，赶紧让悟空去找水，悟空说他也没法子！ ......"
"643","1、姜还是老的便宜。2、如果连续两次都被吓得半死是不是就没命了？3、智能手机也免不了犯蠢，明明电量不足，他TM还提示个不停，简直浪费电！4、手表是用来计量时间的，具体说来就是：手表越贵说明手表主人的时间也越宝贵。5、值得深思的是，人在犹豫之前，都没有想过要不要犹豫，可见犹豫是果断的。6、自由两个字里全是条条框框，看起来就像个笼子。7、知道为啥西藏美吗？因为很多“美女”去了西藏，但是只有“女”回来了。。。8、包大人之所以黑，是因为头上有个月牙，显示的是夜间模式。9、“如果你害怕，就去做你害怕的事情，害怕自然就消失啦。”......"
"644","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"645","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"646","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"647","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"648","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"649","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"650","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"651","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"652","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"653","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
"654","1、刘备三顾茅庐请诸葛亮出山。第一次去请，诸葛亮没搭理！第二次去，还是没搭理！第三次诸葛亮实在受不了了就对刘备说：“你TM三次都空着手来，你好意思吗？”2、有一只不识相的鸡精拦助唐僧师徒的去路，被悟空一棍子打死。悟空打死鸡精后，准备炖着吃。唐僧忙说：“悟空，我们是出家人，不能吃肉的！ ”悟空：“师傅，‘鸡精’不是肉，只是一种调味料，放汤里的话，味道别提多鲜美了！ ”唐僧：“悟空言之有理，八戒赶紧生火，悟净赶紧拔毛....”3、大禹治水时，洪水之上漂来一个巨大的双开门大衣柜，军兵不明所以，等大衣柜靠岸从大衣柜里爬出来一个老头说：上帝让我诺亚建方舟挽救生灵，漂了这么久总算是上了陆地了。......"
